Id Estado;Estado;Material;Tipo material;Texto breve de material;Centro área pl.nec.;Almacén;Ubicación;Caract.planif.nec.;Punto de pedido;Cálculo de tamaño de lote;Stock alm.máx.;Libre utilización;Libre Utilización Área;Stock de seguridad;Stock en Curso;Cantidad Pendiente en SolPed;Grupo de compras;Denominación GrpComp;Valor total;Nombre Fabricante;Numero Pieza de Fabricante;Rubro;SubRubro;Embalar;Peso bruto;Peso neto;Unidad de peso;Volumen;Plazo entrega prev.;Valor libre utilización;Moneda valor libre utilización;Menor a PP;Stock nulo;Mayor a PP;Mayor a Stock Maximo;Menor a PP area;Stock nulo area;Mayor a PP area;Mayor a Stock Maximo area
3;03-MAYOR A PUNTO DE PEDIDO;1000007;ZSTO;ELEMENTO FILTRO DE CABINA;MR01;0223;;V1;1;HB;3;2;0;0;0;0;F05;FILTRO AIRE CABINA;199929,4;JOHN DEERE // JOHN DEERE;AT315957 // AT528017;FILTROS;TOPADOR JD 850;8-VARIOS;0,133;0;KG;402,6;15;199929,4;;;;1;;;1;;
2;02-MENOR A PUNTO DE PEDIDO;1001673;ZSTO;ALAMBRE 1.42MM NEGRO RECOCIDO P ATAR XKG;MR01;0223;;V1;30;HB;68;25;0;0;0;0;C08;ACERO;82233,5;;MÚLT. 45/50 KG;ACEROS;ALAMBRES;1-ALAMBRE;1;0;KG;747,477;20;82233,45;;1;;;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1001681;ZSTO;FICHA T.STECK MACHO 380V 32A T N XUN;MR01;0223;;V1;4;HB;8;5;0;0;0;0;C11;ELECTRICIDAD;32561,6;;;ELECTRICIDAD;FICHAS;8-VARIOS;0,22;0;KG;423,9;15;32561,62;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1001682;ZSTO;MAMELUCODE CLAMINADOL XL60GRBLANCO;MR01;0223;;V1;4;HB;9;6;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;51432,48;;FABRICANTE:DUPONT | MODELO:TYVEK 500;SEGURIDAD;INDUMENTARIA;8-VARIOS;0,195;0;KG;2232;21;51432,46;;;;1;;;1;;
4;04-MAYOR A STOCK MAXIMO;1001690;ZSTO;ANTEOJO INCOLORO;MR01;0223;;V1;5;HB;11;18;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;14499,18;LIBUS;MIGHC;SEGURIDAD;ACCESORIO SEGURIDAD;9-FRAGIL;0,028;0;KG;525;15;14499,1;;;;;1;;1;;
4;04-MAYOR A STOCK MAXIMO;1001691;ZSTO;ANTEOJO GRIS;MR01;0223;;V1;10;HB;23;29;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;91237,77;LIBUS;MIGHC;SEGURIDAD;ACCESORIO SEGURIDAD;9-FRAGIL;0,028;0;KG;506,25;21;91237,85;;;;;1;;1;;
2;02-MENOR A PUNTO DE PEDIDO;1001697;ZSTO;GUANTE VAQUETA MEDIO PASEO T.10;MR01;0223;;V1;8;HB;18;7;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;18751,88;;MÚLT. 12U;SEGURIDAD;GUANTE;8-VARIOS;0,122;0;KG;650;21;18751,89;;1;;;;;1;;
4;04-MAYOR A STOCK MAXIMO;1001698;ZSTO;GUANTE ALGODON MOTEADO;MR01;0223;;V1;8;HB;18;22;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;11769,56;;MÚLT. 12U;SEGURIDAD;GUANTE;8-VARIOS;0,062;0;KG;308;21;11769,5;;;;;1;;1;;
4;04-MAYOR A STOCK MAXIMO;1001701;ZSTO;GUANTE NITRILO AZUL PUÑO ELASTIZADO;MR01;0223;;V1;8;HB;18;20;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;80691,8;;;SEGURIDAD;GUANTE;8-VARIOS;0,113;0;KG;156,25;21;80691,82;;;;;1;;1;;
4;04-MAYOR A STOCK MAXIMO;1001706;ZSTO;GUANTE LATEX USO MEDICINAL CAJA X 100 UN;MR01;0223;;V1;1;HB;2;4;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;22172,24;;;SEGURIDAD;GUANTE;8-VARIOS;0,625;0;KG;1320;21;22172,24;;;;;1;;1;;
2;02-MENOR A PUNTO DE PEDIDO;1001708;ZSTO;GUANTE POLIAMIDA LAMINADO PALMAPU-TALLE9;MR01;0223;;V1;16;HB;36;13;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;9399,65;;MÚLT. 12U;SEGURIDAD;GUANTE;8-VARIOS;0,028;0;KG;500;21;9399,69;;1;;;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1001744;ZSTO;BOTA GOMA P.ACERO N 40;MR01;0223;;V1;2;HB;3;2;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;31983,2;;;SEGURIDAD;CALZADO;8-VARIOS;2,065;0;KG;20328;20;31983,19;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1001745;ZSTO;BOTA GOMA P.ACERO N 41;MR01;0223;;V1;2;HB;3;2;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;43935,08;;;SEGURIDAD;CALZADO;8-VARIOS;2,235;0;KG;20328;20;43935,09;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1001746;ZSTO;BOTA GOMA P.ACERO N 42;MR01;0223;;V1;2;HB;3;3;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;69211,95;;;SEGURIDAD;CALZADO;8-VARIOS;2,259;0;KG;18792;20;69211,94;;;;1;;;1;;
2;02-MENOR A PUNTO DE PEDIDO;1001747;ZSTO;BOTA GOMA P.ACERO N 43;MR01;0223;;V1;2;HB;3;1;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;18586,02;;;SEGURIDAD;CALZADO;8-VARIOS;2,348;0;KG;19488;20;18586,02;;1;;;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1001748;ZSTO;BOTA GOMA P.ACERO N 44;MR01;0223;;V1;2;HB;3;2;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;15527,72;;;SEGURIDAD;CALZADO;8-VARIOS;2,4;0;KG;19488;20;15527,73;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1001755;ZSTO;BOTIN MARRON/NEGRO FLOR P.ACERO N 39;MR01;0223;;V1;1;HB;2;1;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;32741,4;CONWORK // VORAN // BORIS // CALZADOS A // // //;53BAF // CRONOS N T39 // 3305 T39 // ESCORPIO PRUS 1050 T39 // SKIWAY MOD. 3243 T39 // RINGO-MOD PUNCH TALLE 39 // RINGO MOD BOLT TALLE 39;SEGURIDAD;CALZADO;8-VARIOS;1,3;0;KG;12521,25;21;32741,4;;;;1;;;1;;
2;02-MENOR A PUNTO DE PEDIDO;1001756;ZSTO;BOTIN MARRON/NEGRO FLOR P.ACERO N 40;MR01;0223;;V1;2;HB;3;1;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;33954,72;CONWORK // VORAN // BORIS // CALZADOS A // // //;53BAF // CRONOS N T40 // 3305 T40 // ESCORPIO PRUS 1050 T40 // SKIWAY MOD. 3243 T40 // RINGO-MOD PUNCH TALLE 40 // RINGO MOD BOLT TALLE 40;SEGURIDAD;CALZADO;8-VARIOS;1,25;0;KG;11934;21;33954,72;;1;;;;;1;;
2;02-MENOR A PUNTO DE PEDIDO;1001757;ZSTO;BOTIN MARRON/NEGRO FLOR P.ACERO N 41;MR01;0223;;V1;2;HB;3;1;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;33644,18;CONWORK // VORAN // BORIS // CALZADOS A // // //;53BAF // CRONOS N T41 // 3305 T41 // ESCORPIO PRUS 1050 T41 // SKIWAY MOD. 3243 T41 // RINGO-MOD PUNCH TALLE 41 // RINGO MOD BOLT TALLE 41;SEGURIDAD;CALZADO;8-VARIOS;1,296;0;KG;11934;21;33644,18;;1;;;;;1;;
